Run,Algorithm,Colors Used,Execution Time (s),Memory Usage (MiB)
48,Greedy Coloring,43,0.0012431144714355469,0.0
49,Greedy Coloring,43,0.0014047622680664062,0.0
50,Greedy Coloring,43,0.0014395713806152344,0.0
End,Greedy Coloring,---,---,---
1,DSATUR Coloring,41,0.008713006973266602,0.0
2,DSATUR Coloring,41,0.008495569229125977,0.0
3,DSATUR Coloring,41,0.008683204650878906,0.0
4,DSATUR Coloring,41,0.008658885955810547,0.0
5,DSATUR Coloring,41,0.008469581604003906,0.0
6,DSATUR Coloring,41,0.00878143310546875,0.0
7,DSATUR Coloring,41,0.008788824081420898,0.0
8,DSATUR Coloring,41,0.008620023727416992,0.0
9,DSATUR Coloring,41,0.008403778076171875,0.0
10,DSATUR Coloring,41,0.008639812469482422,0.0
11,DSATUR Coloring,41,0.00867915153503418,0.0
12,DSATUR Coloring,41,0.008693218231201172,0.0
13,DSATUR Coloring,41,0.008805513381958008,0.0
14,DSATUR Coloring,41,0.015931367874145508,0.0
15,DSATUR Coloring,41,0.00883173942565918,0.0
16,DSATUR Coloring,41,0.00867462158203125,0.0
17,DSATUR Coloring,41,0.008688211441040039,0.0
18,DSATUR Coloring,41,0.008745908737182617,0.0
19,DSATUR Coloring,41,0.008591890335083008,0.0
20,DSATUR Coloring,41,0.008737564086914062,0.0
21,DSATUR Coloring,41,0.008544921875,0.0
22,DSATUR Coloring,41,0.008768081665039062,0.0
23,DSATUR Coloring,41,0.008719682693481445,0.0
24,DSATUR Coloring,41,0.00869131088256836,0.0
25,DSATUR Coloring,41,0.008758544921875,0.0
26,DSATUR Coloring,41,0.008780717849731445,0.0
27,DSATUR Coloring,41,0.008569478988647461,0.0
28,DSATUR Coloring,41,0.008503437042236328,0.0
29,DSATUR Coloring,41,0.008813142776489258,0.0
30,DSATUR Coloring,41,0.00915217399597168,0.0
31,DSATUR Coloring,41,0.008583784103393555,0.0
32,DSATUR Coloring,41,0.008708953857421875,0.0
33,DSATUR Coloring,41,0.008504629135131836,0.0
34,DSATUR Coloring,41,0.009069442749023438,0.0
35,DSATUR Coloring,41,0.008716344833374023,0.0
36,DSATUR Coloring,41,0.008740663528442383,0.0
37,DSATUR Coloring,41,0.00883173942565918,0.0
38,DSATUR Coloring,41,0.008910179138183594,0.0
39,DSATUR Coloring,41,0.008704423904418945,0.0
40,DSATUR Coloring,41,0.008555412292480469,0.0
41,DSATUR Coloring,41,0.009360551834106445,0.0
42,DSATUR Coloring,41,0.008612632751464844,0.0
43,DSATUR Coloring,41,0.008548498153686523,0.0
44,DSATUR Coloring,41,0.008592844009399414,0.0
45,DSATUR Coloring,41,0.008678913116455078,0.0
46,DSATUR Coloring,41,0.008937597274780273,0.0
47,DSATUR Coloring,41,0.008758544921875,0.0
48,DSATUR Coloring,41,0.008668184280395508,0.0
49,DSATUR Coloring,41,0.008469820022583008,0.0
50,DSATUR Coloring,41,0.008590936660766602,0.0
End,DSATUR Coloring,---,---,---
1,Genetic Algorithm,40,0.20837879180908203,0.0
2,Genetic Algorithm,41,0.2132253646850586,0.0
3,Genetic Algorithm,41,0.20750665664672852,0.0
4,Genetic Algorithm,41,0.20985889434814453,0.0
5,Genetic Algorithm,41,0.20634961128234863,0.03125
6,Genetic Algorithm,41,0.24430513381958008,0.0
7,Genetic Algorithm,40,0.20821785926818848,0.03125
8,Genetic Algorithm,41,0.2063913345336914,0.0
9,Genetic Algorithm,41,0.2071089744567871,0.0
10,Genetic Algorithm,41,0.2078077793121338,0.0
11,Genetic Algorithm,41,0.20597577095031738,0.0
12,Genetic Algorithm,41,0.20879793167114258,0.0
13,Genetic Algorithm,41,0.2069995403289795,0.0
14,Genetic Algorithm,41,0.20719385147094727,0.0
15,Genetic Algorithm,41,0.2076725959777832,0.0
16,Genetic Algorithm,41,0.2085881233215332,0.0
17,Genetic Algorithm,41,0.2095015048980713,0.0
18,Genetic Algorithm,41,0.20894479751586914,0.0
19,Genetic Algorithm,41,0.2090764045715332,0.0
20,Genetic Algorithm,41,0.2073984146118164,0.0
21,Genetic Algorithm,40,0.2069690227508545,0.0
22,Genetic Algorithm,41,0.20915484428405762,0.0
23,Genetic Algorithm,41,0.20729923248291016,0.0
24,Genetic Algorithm,41,0.2090747356414795,0.0
25,Genetic Algorithm,41,0.21343064308166504,0.0
26,Genetic Algorithm,41,0.21057939529418945,0.0
27,Genetic Algorithm,41,0.20844507217407227,0.0
28,Genetic Algorithm,41,0.20781183242797852,0.0
29,Genetic Algorithm,42,0.2081611156463623,0.0
30,Genetic Algorithm,41,0.20649266242980957,0.0
31,Genetic Algorithm,40,0.21594810485839844,0.0
32,Genetic Algorithm,41,0.2070598602294922,0.0
33,Genetic Algorithm,41,0.20625042915344238,0.0
34,Genetic Algorithm,41,0.20929980278015137,0.0
35,Genetic Algorithm,41,0.20653629302978516,0.0
36,Genetic Algorithm,41,0.20990657806396484,0.0
37,Genetic Algorithm,41,0.22007083892822266,0.0
38,Genetic Algorithm,41,0.2090744972229004,0.0
39,Genetic Algorithm,41,0.2052476406097412,0.0
40,Genetic Algorithm,41,0.2090461254119873,0.0
41,Genetic Algorithm,41,0.21651959419250488,0.0
42,Genetic Algorithm,41,0.2071382999420166,0.0
43,Genetic Algorithm,41,0.20969367027282715,0.0
44,Genetic Algorithm,41,0.208939790725708,0.0
45,Genetic Algorithm,40,0.2091233730316162,0.0
46,Genetic Algorithm,41,0.20812487602233887,0.0
47,Genetic Algorithm,41,0.20884323120117188,0.0
48,Genetic Algorithm,41,0.20797491073608398,0.0
49,Genetic Algorithm,41,0.20784854888916016,0.0
50,Genetic Algorithm,41,0.20862436294555664,0.0
End,Genetic Algorithm,---,---,---
1,POP2 Algorithm,37,1.3264362812042236,0.4453125
2,POP2 Algorithm,37,1.3591279983520508,0.05859375
3,POP2 Algorithm,37,1.299739122390747,0.0
4,POP2 Algorithm,37,1.3009769916534424,-0.03125
5,POP2 Algorithm,37,1.29189133644104,0.0
6,POP2 Algorithm,37,1.3319334983825684,0.0
7,POP2 Algorithm,37,1.3179535865783691,0.0
8,POP2 Algorithm,37,1.3079712390899658,0.0
9,POP2 Algorithm,37,1.3208856582641602,0.0
10,POP2 Algorithm,37,1.299515724182129,0.0
11,POP2 Algorithm,37,1.3029744625091553,0.0
12,POP2 Algorithm,37,1.2998156547546387,0.0
13,POP2 Algorithm,37,1.298417091369629,0.0
14,POP2 Algorithm,37,1.2930810451507568,0.0
15,POP2 Algorithm,37,1.3152375221252441,0.0
16,POP2 Algorithm,37,1.376168966293335,0.0
17,POP2 Algorithm,37,1.3219056129455566,0.0
18,POP2 Algorithm,37,1.321303129196167,0.0
19,POP2 Algorithm,37,1.3173749446868896,0.0
20,POP2 Algorithm,37,1.3086650371551514,0.0
21,POP2 Algorithm,37,1.3113441467285156,0.0
22,POP2 Algorithm,37,1.3226144313812256,0.0
23,POP2 Algorithm,37,1.3445158004760742,0.0
24,POP2 Algorithm,37,1.3117446899414062,0.0
25,POP2 Algorithm,37,1.2973251342773438,0.0
26,POP2 Algorithm,37,1.294297695159912,0.0
27,POP2 Algorithm,37,1.3000812530517578,0.0
28,POP2 Algorithm,37,1.2920312881469727,0.0
29,POP2 Algorithm,37,1.303436279296875,0.0
30,POP2 Algorithm,37,1.301884651184082,0.0
31,POP2 Algorithm,37,1.3155710697174072,0.0
32,POP2 Algorithm,37,1.3094043731689453,0.0
33,POP2 Algorithm,37,1.3276281356811523,0.0
34,POP2 Algorithm,37,1.2987685203552246,0.0
35,POP2 Algorithm,37,1.2992753982543945,0.0
36,POP2 Algorithm,37,1.3015732765197754,0.0
37,POP2 Algorithm,37,1.3312005996704102,0.0
38,POP2 Algorithm,37,1.2924418449401855,0.0
39,POP2 Algorithm,37,1.2970554828643799,0.0
40,POP2 Algorithm,37,1.3010005950927734,0.0
41,POP2 Algorithm,37,1.3053500652313232,0.0
42,POP2 Algorithm,37,1.3024561405181885,0.0
43,POP2 Algorithm,37,1.3260035514831543,0.0
44,POP2 Algorithm,37,1.2979509830474854,0.0
45,POP2 Algorithm,37,1.3036634922027588,0.0
46,POP2 Algorithm,37,1.2998597621917725,0.0
47,POP2 Algorithm,37,1.2984728813171387,0.0
48,POP2 Algorithm,37,1.3006939888000488,0.0
49,POP2 Algorithm,37,1.3039233684539795,0.0
50,POP2 Algorithm,37,1.335841178894043,0.0
End,POP2 Algorithm,---,---,---
Best,Greedy Coloring,43,0.001224517822265625,0.0
Worst,Greedy Coloring,43,0.0015616416931152344,0.0
Best,DSATUR Coloring,41,0.008403778076171875,0.0
Worst,DSATUR Coloring,41,0.015931367874145508,0.0
Best,Genetic Algorithm,40,0.2069690227508545,0.0
Worst,Genetic Algorithm,42,0.2081611156463623,0.0
Best,POP2 Algorithm,37,1.29189133644104,0.0
Worst,POP2 Algorithm,37,1.376168966293335,0.0
Average,Greedy Coloring,43.0,0.0014,0.0
Average,DSATUR Coloring,41.0,0.0088,0.0
Average,Genetic Algorithm,40.92,0.2096,0.0013
Average,POP2 Algorithm,37.0,1.3108,0.0095
End,File: DSJC250.5.col,---,---,---
Header,File: DSJC250.9.col,,,
1,Greedy Coloring,99,0.002338409423828125,0.0
2,Greedy Coloring,99,0.002347707748413086,0.0
3,Greedy Coloring,99,0.002395153045654297,0.0
4,Greedy Coloring,99,0.002416849136352539,0.0
5,Greedy Coloring,99,0.0021834373474121094,0.0
6,Greedy Coloring,99,0.002392292022705078,0.0
7,Greedy Coloring,99,0.002371072769165039,0.0
8,Greedy Coloring,99,0.002275705337524414,0.0
9,Greedy Coloring,99,0.002295255661010742,0.0
10,Greedy Coloring,99,0.0023012161254882812,0.0
11,Greedy Coloring,99,0.0023605823516845703,0.0
12,Greedy Coloring,99,0.0023717880249023438,0.0
13,Greedy Coloring,99,0.0024204254150390625,0.0
14,Greedy Coloring,99,0.002239704132080078,0.0
15,Greedy Coloring,99,0.002370595932006836,0.0
16,Greedy Coloring,99,0.0024023056030273438,0.0
17,Greedy Coloring,99,0.0024950504302978516,0.0
18,Greedy Coloring,99,0.0022535324096679688,0.0
19,Greedy Coloring,99,0.0023665428161621094,0.0
20,Greedy Coloring,99,0.002156972885131836,0.0
21,Greedy Coloring,99,0.002371549606323242,0.0
22,Greedy Coloring,99,0.0024323463439941406,0.0
23,Greedy Coloring,99,0.0024268627166748047,0.0
24,Greedy Coloring,99,0.0022771358489990234,0.0
25,Greedy Coloring,99,0.0022950172424316406,0.0
26,Greedy Coloring,99,0.002439737319946289,0.0
27,Greedy Coloring,99,0.0022687911987304688,0.0
28,Greedy Coloring,99,0.002240896224975586,0.0
29,Greedy Coloring,99,0.002429962158203125,0.0
30,Greedy Coloring,99,0.002245187759399414,0.0
31,Greedy Coloring,99,0.002344846725463867,0.0
32,Greedy Coloring,99,0.0024094581604003906,0.0
33,Greedy Coloring,99,0.0021119117736816406,0.0
34,Greedy Coloring,99,0.0023806095123291016,0.0
35,Greedy Coloring,99,0.0024132728576660156,0.0
36,Greedy Coloring,99,0.002416372299194336,0.0
37,Greedy Coloring,99,0.0022106170654296875,0.0
38,Greedy Coloring,99,0.002306699752807617,0.0
39,Greedy Coloring,99,0.002337217330932617,0.0
40,Greedy Coloring,99,0.0023577213287353516,0.0
41,Greedy Coloring,99,0.0024313926696777344,0.0
42,Greedy Coloring,99,0.002392292022705078,0.0
43,Greedy Coloring,99,0.002209901809692383,0.0
44,Greedy Coloring,99,0.0023984909057617188,0.0
45,Greedy Coloring,99,0.0021009445190429688,0.0
46,Greedy Coloring,99,0.0023462772369384766,0.0
47,Greedy Coloring,99,0.002408742904663086,0.0
48,Greedy Coloring,99,0.0024535655975341797,0.0
49,Greedy Coloring,99,0.0022683143615722656,0.0
50,Greedy Coloring,99,0.0023484230041503906,0.0
End,Greedy Coloring,---,---,---
1,DSATUR Coloring,93,0.01056671142578125,0.0
2,DSATUR Coloring,93,0.010820627212524414,0.0
3,DSATUR Coloring,93,0.01034855842590332,0.0
4,DSATUR Coloring,93,0.010724306106567383,0.0
5,DSATUR Coloring,93,0.010621786117553711,0.0
6,DSATUR Coloring,93,0.010697126388549805,0.0
7,DSATUR Coloring,93,0.010711908340454102,0.0
8,DSATUR Coloring,93,0.010879278182983398,0.0
9,DSATUR Coloring,93,0.010762929916381836,0.0
10,DSATUR Coloring,93,0.01069188117980957,0.0
11,DSATUR Coloring,93,0.01087331771850586,0.0
12,DSATUR Coloring,93,0.010736942291259766,0.0
13,DSATUR Coloring,93,0.010723114013671875,0.0
14,DSATUR Coloring,93,0.010626554489135742,0.0
15,DSATUR Coloring,93,0.010673284530639648,0.0
16,DSATUR Coloring,93,0.010740518569946289,0.0
17,DSATUR Coloring,93,0.01067495346069336,0.0
18,DSATUR Coloring,93,0.010695219039916992,0.0
19,DSATUR Coloring,93,0.01065683364868164,0.0
20,DSATUR Coloring,93,0.01072072982788086,0.0
21,DSATUR Coloring,93,0.010706901550292969,0.0
22,DSATUR Coloring,93,0.010669469833374023,0.0
23,DSATUR Coloring,93,0.010579824447631836,0.0
24,DSATUR Coloring,93,0.010801076889038086,0.0
25,DSATUR Coloring,93,0.010620594024658203,0.0
26,DSATUR Coloring,93,0.01065826416015625,0.0
27,DSATUR Coloring,93,0.010729074478149414,0.0
28,DSATUR Coloring,93,0.01068878173828125,0.0
29,DSATUR Coloring,93,0.010571002960205078,0.0
30,DSATUR Coloring,93,0.010442972183227539,0.0
31,DSATUR Coloring,93,0.010824918746948242,0.0
32,DSATUR Coloring,93,0.01059412956237793,0.0
33,DSATUR Coloring,93,0.010792255401611328,0.0
34,DSATUR Coloring,93,0.01070094108581543,0.0
35,DSATUR Coloring,93,0.010766029357910156,0.0
36,DSATUR Coloring,93,0.010782003402709961,0.0
37,DSATUR Coloring,93,0.010699987411499023,0.0
38,DSATUR Coloring,93,0.010664224624633789,0.0
39,DSATUR Coloring,93,0.010639190673828125,0.0
40,DSATUR Coloring,93,0.010644674301147461,0.0
41,DSATUR Coloring,93,0.010800361633300781,0.0
42,DSATUR Coloring,93,0.01065969467163086,0.0
43,DSATUR Coloring,93,0.010730266571044922,0.0
44,DSATUR Coloring,93,0.010718107223510742,0.0
45,DSATUR Coloring,93,0.010637283325195312,0.0
46,DSATUR Coloring,93,0.010751485824584961,0.0
47,DSATUR Coloring,93,0.010778665542602539,0.0
48,DSATUR Coloring,93,0.01080465316772461,0.0
49,DSATUR Coloring,93,0.010640144348144531,0.0
50,DSATUR Coloring,93,0.010586261749267578,0.0
End,DSATUR Coloring,---,---,---
1,Genetic Algorithm,85,0.3180816173553467,0.0
2,Genetic Algorithm,80,0.31554651260375977,0.0
3,Genetic Algorithm,86,0.30390453338623047,0.0
4,Genetic Algorithm,81,0.3054666519165039,0.0
5,Genetic Algorithm,85,0.30902957916259766,0.0
6,Genetic Algorithm,82,0.31113219261169434,0.0
7,Genetic Algorithm,87,0.3231964111328125,0.0
8,Genetic Algorithm,81,0.31153249740600586,0.0
9,Genetic Algorithm,82,0.31052446365356445,0.0
10,Genetic Algorithm,83,0.3081018924713135,0.0
11,Genetic Algorithm,89,0.3069446086883545,0.0
12,Genetic Algorithm,83,0.3084275722503662,0.0
13,Genetic Algorithm,81,0.3028879165649414,0.0
14,Genetic Algorithm,85,0.3086118698120117,0.0
15,Genetic Algorithm,85,0.3066122531890869,0.0
16,Genetic Algorithm,84,0.31041741371154785,0.0
17,Genetic Algorithm,80,0.3076457977294922,0.0
18,Genetic Algorithm,86,0.3124213218688965,0.0
19,Genetic Algorithm,86,0.3030414581298828,0.0
20,Genetic Algorithm,82,0.30903172492980957,0.0
21,Genetic Algorithm,78,0.30329322814941406,0.0
22,Genetic Algorithm,84,0.3089172840118408,0.0
23,Genetic Algorithm,85,0.3027310371398926,0.0
24,Genetic Algorithm,86,0.3233058452606201,0.0
25,Genetic Algorithm,82,0.3052098751068115,0.0
26,Genetic Algorithm,81,0.3093702793121338,0.0
27,Genetic Algorithm,92,0.3066225051879883,0.0
28,Genetic Algorithm,84,0.30528879165649414,0.0
29,Genetic Algorithm,87,0.3032982349395752,0.0
30,Genetic Algorithm,82,0.3035142421722412,0.0
31,Genetic Algorithm,83,0.31920933723449707,0.0
32,Genetic Algorithm,83,0.34146547317504883,0.0
33,Genetic Algorithm,79,0.30781006813049316,0.0
34,Genetic Algorithm,78,0.30818986892700195,0.0
35,Genetic Algorithm,87,0.31119441986083984,0.0
36,Genetic Algorithm,84,0.305142879486084,0.0
37,Genetic Algorithm,85,0.3064148426055908,0.0
38,Genetic Algorithm,85,0.30832815170288086,0.0
39,Genetic Algorithm,85,0.31647157669067383,0.0
40,Genetic Algorithm,83,0.30732107162475586,0.0
41,Genetic Algorithm,87,0.3061254024505615,0.0
42,Genetic Algorithm,86,0.3063030242919922,0.0
43,Genetic Algorithm,81,0.3054070472717285,0.0
44,Genetic Algorithm,86,0.3097970485687256,0.0
45,Genetic Algorithm,82,0.3060765266418457,0.0
46,Genetic Algorithm,86,0.3064000606536865,0.0
47,Genetic Algorithm,85,0.30568933486938477,0.0
48,Genetic Algorithm,87,0.30716705322265625,0.0
49,Genetic Algorithm,82,0.33450794219970703,0.0
50,Genetic Algorithm,80,0.30742716789245605,0.0
End,Genetic Algorithm,---,---,---
1,POP2 Algorithm,92,2.182941198348999,0.37890625
2,POP2 Algorithm,92,2.1299233436584473,0.76171875
3,POP2 Algorithm,92,2.1799240112304688,0.0859375
4,POP2 Algorithm,92,2.1604397296905518,0.16796875
5,POP2 Algorithm,92,2.231879234313965,0.25390625
6,POP2 Algorithm,92,2.205322742462158,0.0859375
7,POP2 Algorithm,92,2.254532814025879,0.0
8,POP2 Algorithm,92,2.198262929916382,0.0
9,POP2 Algorithm,92,2.2117252349853516,0.0
10,POP2 Algorithm,92,2.2012228965759277,0.0
11,POP2 Algorithm,92,2.227169990539551,0.0
12,POP2 Algorithm,92,2.245931625366211,0.0
13,POP2 Algorithm,91,2.1470203399658203,0.0
14,POP2 Algorithm,92,2.185596227645874,0.0
15,POP2 Algorithm,92,2.1759254932403564,0.0
16,POP2 Algorithm,92,2.175800085067749,0.0
17,POP2 Algorithm,92,2.13370680809021,0.0
18,POP2 Algorithm,92,2.1657967567443848,0.0
19,POP2 Algorithm,92,2.148209810256958,0.0
20,POP2 Algorithm,92,2.1683361530303955,0.0
21,POP2 Algorithm,92,2.1816787719726562,0.0
22,POP2 Algorithm,91,2.2003793716430664,0.0
23,POP2 Algorithm,92,2.199904203414917,0.0
24,POP2 Algorithm,92,2.1983249187469482,0.0
25,POP2 Algorithm,92,2.198276996612549,0.0
26,POP2 Algorithm,92,2.2232046127319336,0.0
27,POP2 Algorithm,92,2.1244759559631348,0.0
28,POP2 Algorithm,92,2.2269015312194824,0.0
29,POP2 Algorithm,92,2.211592674255371,0.0
30,POP2 Algorithm,92,2.193992853164673,0.0
31,POP2 Algorithm,92,2.2096879482269287,0.0
32,POP2 Algorithm,92,2.195524215698242,0.0
33,POP2 Algorithm,92,2.154090404510498,0.0
34,POP2 Algorithm,92,2.172795534133911,0.0
35,POP2 Algorithm,92,2.2091147899627686,0.0
36,POP2 Algorithm,92,2.1844096183776855,0.0
37,POP2 Algorithm,92,2.1570215225219727,0.0
38,POP2 Algorithm,92,2.1823644638061523,0.0
39,POP2 Algorithm,92,2.142481803894043,0.0
40,POP2 Algorithm,92,2.147372007369995,0.0
41,POP2 Algorithm,92,2.237929582595825,0.0
42,POP2 Algorithm,92,2.194211483001709,0.0
43,POP2 Algorithm,92,2.1938862800598145,0.0
44,POP2 Algorithm,92,2.1569161415100098,0.0
45,POP2 Algorithm,92,2.1652944087982178,0.0
46,POP2 Algorithm,92,2.1681926250457764,0.0
47,POP2 Algorithm,92,2.1703405380249023,0.0
48,POP2 Algorithm,92,2.1609230041503906,0.25390625
49,POP2 Algorithm,92,2.176378011703491,0.0
50,POP2 Algorithm,92,2.147111415863037,0.0
End,POP2 Algorithm,---,---,---
Best,Greedy Coloring,99,0.0021009445190429688,0.0
Worst,Greedy Coloring,99,0.0024950504302978516,0.0
Best,DSATUR Coloring,93,0.01034855842590332,0.0
Worst,DSATUR Coloring,93,0.010879278182983398,0.0
Best,Genetic Algorithm,78,0.30329322814941406,0.0
Worst,Genetic Algorithm,92,0.3066225051879883,0.0
Best,POP2 Algorithm,91,2.1470203399658203,0.0
Worst,POP2 Algorithm,92,2.254532814025879,0.0
Average,Greedy Coloring,99.0,0.0023,0.0
Average,DSATUR Coloring,93.0,0.0107,0.0
Average,Genetic Algorithm,83.76,0.3098,0.0
Average,POP2 Algorithm,91.96,2.1843,0.0398
End,File: DSJC250.9.col,---,---,---
Header,File: DSJC500.1.col,,,
1,Greedy Coloring,20,0.0016787052154541016,0.0
2,Greedy Coloring,20,0.0015716552734375,0.0
3,Greedy Coloring,20,0.0014100074768066406,0.0
4,Greedy Coloring,20,0.0016436576843261719,0.0
5,Greedy Coloring,20,0.0018315315246582031,0.0
6,Greedy Coloring,20,0.0015854835510253906,0.0
7,Greedy Coloring,20,0.0017576217651367188,0.0
8,Greedy Coloring,20,0.001725912094116211,0.0
9,Greedy Coloring,20,0.001722097396850586,0.0
10,Greedy Coloring,20,0.001683950424194336,0.0
11,Greedy Coloring,20,0.0015971660614013672,0.0
12,Greedy Coloring,20,0.0016367435455322266,0.0
13,Greedy Coloring,20,0.001569986343383789,0.0
14,Greedy Coloring,20,0.0015039443969726562,0.0
15,Greedy Coloring,20,0.0016436576843261719,0.0
16,Greedy Coloring,20,0.0016052722930908203,0.0
17,Greedy Coloring,20,0.0015499591827392578,0.0
18,Greedy Coloring,20,0.0017499923706054688,0.0
19,Greedy Coloring,20,0.001772165298461914,0.0
20,Greedy Coloring,20,0.001569509506225586,0.0
End,Greedy Coloring,---,---,---
1,DSATUR Coloring,18,0.02709650993347168,0.0
2,DSATUR Coloring,18,0.027090072631835938,0.0
3,DSATUR Coloring,18,0.027064085006713867,0.0
4,DSATUR Coloring,18,0.027147769927978516,0.0
5,DSATUR Coloring,18,0.027194738388061523,0.0
6,DSATUR Coloring,18,0.027003049850463867,0.0
7,DSATUR Coloring,18,0.0270082950592041,0.0
8,DSATUR Coloring,18,0.02696990966796875,0.0
9,DSATUR Coloring,18,0.026658296585083008,0.0
10,DSATUR Coloring,18,0.02676105499267578,0.0
11,DSATUR Coloring,18,0.027144193649291992,0.0
12,DSATUR Coloring,18,0.026820659637451172,0.0
13,DSATUR Coloring,18,0.026648283004760742,0.0
14,DSATUR Coloring,18,0.026698827743530273,0.0
15,DSATUR Coloring,18,0.02705836296081543,0.0
16,DSATUR Coloring,18,0.02753305435180664,0.0
17,DSATUR Coloring,18,0.02680516242980957,0.0
18,DSATUR Coloring,18,0.02665567398071289,0.0
19,DSATUR Coloring,18,0.026643991470336914,0.0
20,DSATUR Coloring,18,0.02710723876953125,0.0
End,DSATUR Coloring,---,---,---
1,Genetic Algorithm,20,0.2653381824493408,-0.0390625
2,Genetic Algorithm,20,0.26593494415283203,0.125
3,Genetic Algorithm,20,0.2650923728942871,-0.04296875
4,Genetic Algorithm,20,0.2677788734436035,0.0
5,Genetic Algorithm,20,0.26378846168518066,0.0
6,Genetic Algorithm,20,0.2648036479949951,0.0
7,Genetic Algorithm,20,0.2654130458831787,0.0
8,Genetic Algorithm,20,0.2659294605255127,0.0
9,Genetic Algorithm,20,0.26605939865112305,0.0
10,Genetic Algorithm,20,0.26535987854003906,0.0
11,Genetic Algorithm,20,0.2654902935028076,0.0
12,Genetic Algorithm,20,0.2662525177001953,0.0
13,Genetic Algorithm,20,0.26618361473083496,0.0
14,Genetic Algorithm,20,0.2661876678466797,0.0
15,Genetic Algorithm,20,0.2659320831298828,0.0
16,Genetic Algorithm,20,0.2657020092010498,0.0
17,Genetic Algorithm,20,0.2661128044128418,0.0
18,Genetic Algorithm,20,0.26634645462036133,0.0625
19,Genetic Algorithm,20,0.26532554626464844,0.0
20,Genetic Algorithm,20,0.2633674144744873,0.0
End,Genetic Algorithm,---,---,---
1,POP2 Algorithm,16,1.1320500373840332,0.13671875
2,POP2 Algorithm,16,1.1274731159210205,0.0625
3,POP2 Algorithm,16,1.1252601146697998,0.046875
4,POP2 Algorithm,16,1.1190853118896484,0.0
5,POP2 Algorithm,16,1.117997169494629,0.0
6,POP2 Algorithm,16,1.1267142295837402,0.0
7,POP2 Algorithm,16,1.121431827545166,0.0
8,POP2 Algorithm,16,1.124793529510498,0.0
9,POP2 Algorithm,16,1.1321747303009033,0.0
10,POP2 Algorithm,16,1.122837781906128,0.0
11,POP2 Algorithm,16,1.13083815574646,0.0
12,POP2 Algorithm,16,1.1265830993652344,0.0
13,POP2 Algorithm,16,1.1224935054779053,0.0
14,POP2 Algorithm,16,1.1281683444976807,0.0
15,POP2 Algorithm,16,1.11911940574646,0.0
16,POP2 Algorithm,16,1.1221122741699219,0.0
17,POP2 Algorithm,16,1.1300075054168701,0.0
18,POP2 Algorithm,16,1.127744436264038,0.0
19,POP2 Algorithm,16,1.1254091262817383,0.0
20,POP2 Algorithm,16,1.1195731163024902,0.0
End,POP2 Algorithm,---,---,---
Best,Greedy Coloring,20,0.0014100074768066406,0.0
Worst,Greedy Coloring,20,0.0018315315246582031,0.0
Best,DSATUR Coloring,18,0.026643991470336914,0.0
Worst,DSATUR Coloring,18,0.02753305435180664,0.0
Best,Genetic Algorithm,20,0.2633674144744873,0.0
Worst,Genetic Algorithm,20,0.2677788734436035,0.0
Best,POP2 Algorithm,16,1.117997169494629,0.0
Worst,POP2 Algorithm,16,1.1321747303009033,0.0
Average,Greedy Coloring,20.0,0.0016,0.0
Average,DSATUR Coloring,18.0,0.027,0.0
Average,Genetic Algorithm,20.0,0.2656,0.0053
Average,POP2 Algorithm,16.0,1.1251,0.0123
End,File: DSJC500.1.col,---,---,---
Header,File: DSJC500.5.col,,,
1,Greedy Coloring,72,0.005838155746459961,0.0
2,Greedy Coloring,72,0.006159305572509766,0.0
3,Greedy Coloring,72,0.005599021911621094,0.0
4,Greedy Coloring,72,0.00546574592590332,0.0
5,Greedy Coloring,72,0.006132602691650391,0.0
6,Greedy Coloring,72,0.005850076675415039,0.0
7,Greedy Coloring,72,0.005555391311645508,0.0
8,Greedy Coloring,72,0.005381345748901367,0.0
9,Greedy Coloring,72,0.004787445068359375,0.0
10,Greedy Coloring,72,0.00643610954284668,0.0
11,Greedy Coloring,72,0.006642341613769531,0.0
12,Greedy Coloring,72,0.005896091461181641,0.0
13,Greedy Coloring,72,0.0059511661529541016,0.0
14,Greedy Coloring,72,0.00638580322265625,0.0
15,Greedy Coloring,72,0.0054683685302734375,0.0
16,Greedy Coloring,72,0.005803823471069336,0.0
17,Greedy Coloring,72,0.0054743289947509766,0.0
18,Greedy Coloring,72,0.004904270172119141,0.0
19,Greedy Coloring,72,0.005819559097290039,0.0
20,Greedy Coloring,72,0.005519390106201172,0.0
End,Greedy Coloring,---,---,---
1,DSATUR Coloring,71,0.03676962852478027,0.0
2,DSATUR Coloring,71,0.03595304489135742,0.0
3,DSATUR Coloring,71,0.0364079475402832,0.0
4,DSATUR Coloring,71,0.03641033172607422,0.0
5,DSATUR Coloring,71,0.037259817123413086,0.0
6,DSATUR Coloring,71,0.037065982818603516,0.0
7,DSATUR Coloring,71,0.03609466552734375,0.0
8,DSATUR Coloring,71,0.036440134048461914,0.0
9,DSATUR Coloring,71,0.03540825843811035,0.0
10,DSATUR Coloring,71,0.035921573638916016,0.0
11,DSATUR Coloring,71,0.03600645065307617,0.0
12,DSATUR Coloring,71,0.03631925582885742,0.0
13,DSATUR Coloring,71,0.035553693771362305,0.0
14,DSATUR Coloring,71,0.0356297492980957,0.0
15,DSATUR Coloring,71,0.035694122314453125,0.0
16,DSATUR Coloring,71,0.036611080169677734,0.0
17,DSATUR Coloring,71,0.03572273254394531,0.0
