Run,Algorithm,Colors Used,Execution Time (s),Memory Usage (MiB)
35,DSATUR Coloring,7,0.001911163330078125,0.0
36,DSATUR Coloring,7,0.0019321441650390625,0.0
37,DSATUR Coloring,7,0.0018830299377441406,0.0
38,DSATUR Coloring,7,0.0018880367279052734,0.0
39,DSATUR Coloring,7,0.0018219947814941406,0.0
40,DSATUR Coloring,7,0.0020508766174316406,0.0
41,DSATUR Coloring,7,0.0018930435180664062,0.0
42,DSATUR Coloring,7,0.0017778873443603516,0.0
43,DSATUR Coloring,7,0.001955270767211914,0.0
44,DSATUR Coloring,7,0.002004384994506836,0.0
45,DSATUR Coloring,7,0.0017998218536376953,0.0
46,DSATUR Coloring,7,0.0019598007202148438,0.0
47,DSATUR Coloring,7,0.0019040107727050781,0.0
48,DSATUR Coloring,7,0.0019307136535644531,0.0
49,DSATUR Coloring,7,0.0019888877868652344,0.0
50,DSATUR Coloring,7,0.0018465518951416016,0.0
End,DSATUR Coloring,---,---,---
1,Genetic Algorithm,8,0.06655097007751465,0.06640625
2,Genetic Algorithm,8,0.06686258316040039,0.09375
3,Genetic Algorithm,8,0.06700015068054199,0.0
4,Genetic Algorithm,8,0.06609177589416504,0.0
5,Genetic Algorithm,8,0.06630802154541016,0.0
6,Genetic Algorithm,8,0.0662984848022461,0.0
7,Genetic Algorithm,8,0.06667351722717285,0.0
8,Genetic Algorithm,8,0.07187771797180176,0.0
9,Genetic Algorithm,8,0.06688594818115234,0.0
10,Genetic Algorithm,8,0.06647920608520508,0.0
11,Genetic Algorithm,8,0.06638813018798828,0.0
12,Genetic Algorithm,8,0.06622433662414551,0.0
13,Genetic Algorithm,8,0.0663762092590332,0.0
14,Genetic Algorithm,8,0.06798815727233887,0.0
15,Genetic Algorithm,8,0.06658720970153809,0.0
16,Genetic Algorithm,8,0.06628870964050293,0.0
17,Genetic Algorithm,8,0.06616425514221191,0.0
18,Genetic Algorithm,8,0.06622552871704102,0.0
19,Genetic Algorithm,8,0.06623625755310059,0.0
